"","state","account.length","international.plan","voice.mail.plan","number.vmail.messages","total.day.minutes","total.day.calls","total.day.charge.permin","total.eve.minutes","total.eve.calls","total.eve.charge.permin","total.night.minutes","total.night.calls","total.night.charge.permin","total.intl.minutes","total.intl.calls","total.intl.charge.permin","number.customer.service.calls","Churn","decision.prediction","random.prediction","knn.predict","naive.bayes.predict"
"1","HI",0.0785186844399139," no"," no",-0.542369810884019,-2.11607494981586,1.28179870597362,0.169957686882934,0.255387556310108,-1.44262099982228,0.0849929211892402,0.751110504910375,-1.36251867133469,0.045,0.120234098181022,-0.526553113322119,0.269811320754717,1.10116844511117," False."," False."," False."," False."," False."
"2","MT",1.00836206301789," no"," no",-0.542369810884019,0.832757805096919,-0.681182784854085,0.169991055456172,0.936498983006115,2.01992954629861,0.0850081699346405,-2.17094376944195,-0.94950708796725,0.0450106157112527,-0.317509010126999,1.74215644318743,0.270526315789474,-1.23526104680517," False."," False."," False."," False."," False."
"3","OH",0.130176649916468," no"," yes",1.63185981561106,2.20578995227635,-0.203700800598698,0.170003393281303,0.781230420689396,0.236191386175726,0.0849978929624947,2.07613229504334,1.42530951639555,0.044988344988345,1.35387376704908,1.17497905406004,0.27007299270073,-0.456451216166393," False."," False."," False."," False."," False."
"4","NM",0.0268607189633599," no"," no",-0.542369810884019,0.701441087785806,1.28179870597362,0.170018450184502,-1.51467405410049,-0.655677693885713,0.0849683544303797,0.433764695142914,-0.89788064004632,0.0450135992747054,2.14977032760912,-1.09373050244951,0.270063694267516,-0.456451216166393," False."," False."," False."," False."," False."
"5","SC",0.259321563607853," no"," no",-0.542369810884019,0.326802217809984,-1.10561121530332,0.170010131712259,-1.56435999404184,0.0263398379259758,0.085,0.10199407584057,0.392780557976941,0.0449877750611247,-1.03381591463103,0.0406242758052674,0.27012987012987,0.322358614472388," False."," False."," False."," False."," False."
"6","IA",0.491782408252347," no"," no",-0.542369810884019,0.888760522773717,-0.734236338660239,0.170022075055188,-1.19999643447194,-1.70493543513447,0.0850282485875706,0.483221184976804,-0.484869056678876,0.0450224215246637,-1.35217453885505,0.607801664932654,0.269565217391304,-0.456451216166393," False."," False."," False."," False."," False."
"7","ND",-0.902982659614613," no"," yes",1.8567801218002,0.741994779896591,1.33485225977977,0.169986295111923,0.305073496251458,1.28544912742448,0.0850209986000933,1.25185746447851,1.06392438094904,0.0449865539761813,1.03551514282507,-0.526553113322119,0.269767441860465,-0.456451216166393," False."," False."," False."," False."," False."
"8","LA",-0.102284194728025," no"," no",-0.542369810884019,-0.443717932294927,-0.0975936929863896,0.170031746031746,0.516238741002196,0.60343159561279,0.084988864142539,2.29250443806661,0.341154110056011,0.04501287001287,0.319208238321031,1.17497905406004,0.27027027027027,-1.23526104680517," False."," False."," False."," False."," False."
"10","TX",0.775901218373394," no"," yes",2.6814879111604,-0.0516989085573405,0.0615669684320728,0.170022497187852,-1.08199232711123,-0.603214806823276,0.0849966055668703,-0.110256693029875,-0.381616160837015,0.045005149330587,0.637566862545046,-1.66090789157689,0.269747899159664,-1.23526104680517," False."," False."," False."," False."," False."
"11","AR",0.388466477299238," no"," yes",2.38159416957488,0.56626211408319,-1.15866476910947,0.17001906577693,-0.734190747521781,-0.550751919760838,0.0850091407678245,-0.821193734392042,0.0313954225304281,0.0450219160926738,-0.516483150267008,0.0406242758052674,0.27,-0.456451216166393," False."," False."," False."," False."," False."
